date,open,high,low,close,volume,vwap,symbol,sma,ema,wma,dema,tema,williams,rsi,adx,ratingScore,minus_10_price,minus_5_price,minus_4_price,minus_3_price,minus_2_price,target
2019-07-21,51.45,51.63,50.59,50.65,83717228.0,51.08,AAPL,50.78357142857142,50.60442375918789,50.866,51.322898342889125,51.07601067476822,-48.27586206896569,65.20891725480331,95.69634542799808,5.0,50.44,51.13,50.84,51.42,50.65,52.17
2019-07-22,50.91,51.81,50.9,51.81,89111728.0,51.3575,AAPL,50.88499999999999,50.76516725796284,51.002857142857145,51.52715626277553,51.35089944870065,0.0,71.21057989319212,93.78815781504113,5.0,50.83,50.84,51.42,50.65,50.65,51.76
2019-07-23,52.12,52.23,51.82,52.21,73420840.0,52.095,AAPL,50.99428571428571,50.95781162356779,51.179523809523815,51.785160544596415,51.68904989978533,-0.7604562737641086,72.94381276036033,92.0971660307381,5.0,50.83,51.42,50.65,50.65,50.65,51.94
2019-07-24,51.92,52.29,51.79,52.17,59966268.0,52.0425,AAPL,51.07071428571427,51.11943674042543,51.336285714285715,51.976547573260184,51.919045337989225,-4.460966542750838,72.47392894335137,90.53888361868599,5.0,50.83,50.65,50.65,50.65,51.81,51.94
2019-07-25,52.22,52.31,51.68,51.76,55638248.0,51.9925,AAPL,51.12071428571427,51.20484517503537,51.42819047619048,52.02169520682078,51.93696724200986,-20.29520295202967,67.66265989954962,88.95922984440215,5.0,51.3,50.65,50.65,51.81,52.21,51.94
2019-07-26,51.87,52.43,51.79,51.94,70475496.0,52.0075,AAPL,51.25857142857142,51.30286581836399,51.53742857142856,52.09575373679615,52.001555669053886,-17.948717948718045,68.64674752049123,87.52094713767701,5.0,51.13,50.65,51.81,52.21,52.17,52.42
2019-07-27,51.87,52.43,51.79,51.94,70475496.0,52.0075,AAPL,51.25857142857142,51.30286581836399,51.53742857142856,52.09575373679615,52.001555669053886,-17.948717948718045,68.64674752049123,87.52094713767701,5.0,50.84,51.81,52.21,52.17,51.76,52.2
2019-07-28,51.87,52.43,51.79,51.94,70475496.0,52.0075,AAPL,51.25857142857142,51.30286581836399,51.53742857142856,52.09575373679615,52.001555669053886,-17.948717948718045,68.64674752049123,87.52094713767701,5.0,51.42,52.21,52.17,51.76,51.94,53.26
2019-07-29,52.12,52.66,52.11,52.42,86693556.0,52.3275,AAPL,51.409285714285716,51.45181704258213,51.69228571428571,52.268077632879056,52.206695623118556,-10.572687224669398,71.16661937210384,86.24207989522431,5.0,50.65,52.17,51.76,51.94,51.94,52.11
2019-07-30,52.19,52.54,51.83,52.2,135742872.0,52.19,AAPL,51.50857142857142,51.55157477023785,51.797714285714285,52.34545731246347,52.272865262342584,-20.62780269058271,68.45116309604329,84.6633277692877,5.0,50.65,51.76,51.94,51.94,51.94,51.01
2019-07-31,54.11,55.34,52.83,53.26,277125444.0,53.885,AAPL,51.709999999999994,51.7793648008728,52.0312380952381,52.664814364018625,52.68125933871134,-43.42379958246352,73.66510248840336,83.85827166198759,5.0,50.65,51.94,51.94,51.94,52.42,51.01
