date,open,high,low,close,volume,vwap,symbol,sma,ema,wma,dema,tema,williams,rsi,adx,ratingScore,minus_10_price,minus_5_price,minus_4_price,minus_3_price,minus_2_price,target
2019-07-11,57.16,57.65,56.98,57.21,23911380.0,57.25,GOOG,55.53142857142858,55.79822768503656,55.90733333333334,56.477321313671766,56.98413087859602,-10.891089108910837,97.607719531765,96.24689562597925,4.0,54.9,56.58,56.58,55.82,56.24,57.25
2019-07-12,57.2,57.37,56.94,57.25,17279460.0,57.19,GOOG,55.61428571428571,55.99179732703168,56.13647619047619,56.74810549491131,57.25425971852413,-9.900990099009869,97.6293722973988,94.57040136017565,4.0,55.56,56.58,55.82,56.24,57.02,57.52
2019-07-13,57.2,57.37,56.94,57.25,17279460.0,57.19,GOOG,55.61428571428571,55.99179732703168,56.13647619047619,56.74810549491131,57.25425971852413,-9.900990099009869,97.6293722973988,94.57040136017565,4.0,56.08,55.82,56.24,57.02,57.21,57.68
2019-07-14,57.2,57.37,56.94,57.25,17279460.0,57.19,GOOG,55.61428571428571,55.99179732703168,56.13647619047619,56.74810549491131,57.25425971852413,-9.900990099009869,97.6293722973988,94.57040136017565,4.0,56.08,56.24,57.02,57.21,57.25,57.32
2019-07-15,57.34,57.54,56.97,57.52,18075600.0,57.3425,GOOG,55.738571428571426,56.19555768342746,56.39057142857142,57.0276170711328,57.53193512211286,-3.217821782178106,97.7757178767573,93.03041318730303,4.0,56.58,57.02,57.21,57.25,57.25,57.32
2019-07-16,57.3,57.93,57.25,57.68,24776140.0,57.54,GOOG,55.97857142857142,56.393483325637135,56.64942857142858,57.28613701823015,57.77572772664888,-5.787037037037036,97.86002529590995,91.6406103236828,4.0,56.58,57.21,57.25,57.25,57.25,56.51
2019-07-17,57.55,57.92,57.29,57.32,23400940.0,57.52,GOOG,56.21642857142856,56.51701888221885,56.828285714285705,57.397716231503615,57.81166601459936,-14.319248826291073,89.62834487560727,90.35007909317828,4.0,56.58,57.25,57.25,57.25,57.52,56.51
2019-07-18,57.09,57.38,56.64,57.32,25825620.0,57.1075,GOOG,56.46785714285715,56.62408303125633,56.97542857142857,57.48014299646895,57.817547075622734,-14.319248826291073,89.62834487560727,88.67152247291793,4.0,55.82,57.25,57.25,57.52,57.68,56.51
2019-07-19,57.41,57.56,56.48,56.51,32944900.0,56.99,GOOG,56.643571428571434,56.60887196042216,56.98104761904762,57.33760766888347,57.519676848298936,-43.827160493827186,73.495961370322,87.1399011554773,4.0,56.24,57.25,57.52,57.68,57.32,56.9
2019-07-20,57.41,57.56,56.48,56.51,32944900.0,56.99,GOOG,56.643571428571434,56.60887196042216,56.98104761904762,57.33760766888347,57.519676848298936,-43.827160493827186,73.495961370322,87.1399011554773,4.0,57.02,57.52,57.68,57.32,57.32,57.31
2019-07-21,57.41,57.56,56.48,56.51,32944900.0,56.99,GOOG,56.643571428571434,56.60887196042216,56.98104761904762,57.33760766888347,57.519676848298936,-43.827160493827186,73.495961370322,87.1399011554773,4.0,57.21,57.68,57.32,57.32,56.51,56.89
2019-07-22,56.67,56.96,56.21,56.9,26036920.0,56.685,GOOG,56.78642857142857,56.64768903236587,57.0152380952381,57.312901442050226,57.415641205270276,-34.105960264900666,75.75840908157691,85.50133467467249,4.0,57.25,57.32,57.32,56.51,56.51,56.61
2019-07-23,57.2,57.35,56.59,57.31,21873760.0,57.1125,GOOG,56.91142857142858,56.73599716138376,57.08504761904762,57.3890482949257,57.467549650392996,-24.12451361867694,77.89472891808978,84.04988013695758,4.0,57.25,57.32,56.51,56.51,56.51,62.52
2019-07-24,56.6,57.2,56.35,56.89,31802020.0,56.76,GOOG,56.969285714285725,56.75653087319925,57.082190476190476,57.34030440584236,57.34829832646832,-40.46692607003887,70.99281310669762,82.49165855396424,4.0,57.25,56.51,56.51,56.51,56.9,62.52
2019-07-25,56.89,57.09,56.05,56.61,44196460.0,56.66,GOOG,56.97142857142858,56.73699342343936,57.034285714285716,57.22599802860481,57.150793022666726,-51.361867704280165,66.74676203126359,80.77302731449504,4.0,57.52,56.51,56.51,56.9,57.31,62.52
2019-07-26,61.2,63.28,61.2,62.52,96115040.0,62.05,GOOG,57.449999999999996,57.50806096698078,57.77409523809524,58.60012349586007,59.05759602459902,-9.595959595959568,85.90676655198226,80.19424023482067,4.0,57.68,56.51,56.9,57.31,56.89,61.97
2019-07-27,61.2,63.28,61.2,62.52,96115040.0,62.05,GOOG,57.449999999999996,57.50806096698078,57.77409523809524,58.60012349586007,59.05759602459902,-9.595959595959568,85.90676655198226,80.19424023482067,4.0,57.32,56.9,57.31,56.89,56.61,61.26
2019-07-28,61.2,63.28,61.2,62.52,96115040.0,62.05,GOOG,57.449999999999996,57.50806096698078,57.77409523809524,58.60012349586007,59.05759602459902,-9.595959595959568,85.90676655198226,80.19424023482067,4.0,57.32,57.31,56.89,56.61,62.52,60.83
2019-07-29,62.05,62.37,61.41,61.97,44474620.0,61.95,GOOG,57.85928571428571,58.10298617138334,58.3767619047619,59.565042206894276,60.28217943754878,-18.118948824343036,81.21682360948303,79.65679508940876,4.0,56.51,56.89,56.61,62.52,62.52,60.45
