date,open,high,low,close,volume,vwap,symbol,sma,ema,wma,dema,tema,williams,rsi,adx,ratingScore,minus_10_price,minus_5_price,minus_4_price,minus_3_price,minus_2_price,target
2019-07-29,141.5,141.51,139.37,141.03,16605870.0,140.8525,MSFT,138.67428571428573,138.8151312556106,139.22552380952382,140.6534916857952,140.78735130720258,-9.272467902995777,78.10275037093083,82.51022189295733,4.0,136.62,140.72,140.19,141.34,141.34,138.06
2019-07-30,140.14,141.22,139.8,140.35,16846528.0,140.3775,MSFT,138.85285714285718,139.0197804215292,139.44895238095236,140.79038873815193,140.84768191161808,-18.97289586305291,73.25944677970242,81.10579738343979,4.0,136.62,140.19,141.34,141.34,141.34,136.9
2019-07-31,140.33,140.49,135.08,136.27,38598786.0,138.0425,MSFT,138.70071428571433,138.65314303199196,139.10457142857143,139.86991783546605,139.43958287440785,-77.17546362339489,52.302302377522174,77.88692452295474,4.0,136.62,141.34,141.34,141.34,141.03,136.9
2019-08-01,137.0,140.94,136.93,138.06,40557502.0,138.2325,MSFT,138.6407142857143,138.57405729439304,139.01914285714287,139.56005448481818,138.98709025392532,-51.6405135520684,57.98149522682686,74.97389992654584,4.0,138.43,141.34,141.34,141.03,140.35,136.9
2019-08-02,138.09,138.32,135.26,136.9,30791624.0,137.1425,MSFT,138.49785714285716,138.35084965514065,138.78704761904763,139.0119339328237,138.23377374167336,-68.18830242510681,53.53312015178462,71.65896328686891,4.0,139.29,141.34,141.03,140.35,136.27,132.21
2019-08-03,138.09,138.32,135.26,136.9,30791624.0,137.1425,MSFT,138.49785714285716,138.35084965514065,138.78704761904763,139.0119339328237,138.23377374167336,-68.18830242510681,53.53312015178462,71.65896328686891,4.0,140.72,141.03,140.35,136.27,138.06,134.69
2019-08-04,138.09,138.32,135.26,136.9,30791624.0,137.1425,MSFT,138.49785714285716,138.35084965514065,138.78704761904763,139.0119339328237,138.23377374167336,-68.18830242510681,53.53312015178462,71.65896328686891,4.0,140.19,140.35,136.27,138.06,136.9,135.28
2019-08-05,133.3,133.93,130.78,132.21,42749551.0,132.555,MSFT,138.15000000000003,137.53206970112188,137.94866666666667,137.39540011496425,136.02960793397207,-86.88073394495407,40.12827004171932,67.18033860348625,4.0,141.34,136.27,138.06,136.9,136.9,138.89
2019-08-06,133.8,135.68,133.21,134.69,32696651.0,134.345,MSFT,138.03714285714287,137.15312707430564,137.4873333333333,136.70626315639495,135.25374151201578,-64.12844036697253,47.60019644760078,63.41365758884085,4.0,141.34,138.06,136.9,136.9,136.9,137.71
2019-08-07,133.79,135.65,131.83,135.28,33414539.0,134.1375,MSFT,137.9557142857143,136.90337679773157,137.11971428571428,136.29964449584477,134.9048398046035,-58.715596330275254,49.22371304395784,59.51788415517297,4.0,141.34,136.9,136.9,136.9,132.21,137.71
2019-08-08,136.6,138.99,135.93,138.89,27496508.0,137.6025,MSFT,138.11785714285713,137.16825989136737,137.24428571428572,136.87459057754984,135.93448110146744,-25.596330275229533,57.83254676163101,56.633594299925825,4.0,141.03,136.9,136.9,132.21,134.69,137.71
2019-08-09,138.61,139.38,136.46,137.71,23466701.0,138.04,MSFT,138.06642857142856,137.24049190585174,137.18990476190478,137.048579579763,136.32200742318983,-36.42201834862382,54.57538253038724,54.03599709740643,4.0,140.35,136.9,132.21,134.69,135.28,135.79
