date,open,high,low,close,volume,vwap,symbol,dema,tema,williams,rsi,ratingScore,minus_10_price,minus_5_price,minus_4_price,minus_3_price,minus_2_price,target
2019-07-15,101.07,101.14,100.08,101.05,59626000.0,100.76,AMZN,100.53086210368892,101.13972190991132,-9.057527539779791,98.87288705885183,4.0,97.15,100.87,100.05,100.55,100.55,98.89
2019-07-16,100.53,101.32,100.06,100.5,52364000.0,100.62,AMZN,100.80598159867273,101.29286255090909,-16.996047430830114,92.59596170003003,4.0,97.15,100.05,100.55,100.55,100.55,98.23
2019-07-17,100.35,100.6,99.6,99.6,51176000.0,99.93,AMZN,100.78318723537305,101.04739242926156,-28.853754940711607,83.27908791633674,4.0,97.15,100.55,100.55,100.55,101.05,98.23
2019-07-18,99.0,99.38,97.58,98.89,69738000.0,98.62,AMZN,100.56832058497686,100.57352234168326,-38.20816864295131,76.72078146773607,4.0,97.62,100.55,100.55,101.05,100.5,98.23
2019-07-19,99.56,99.8,98.11,98.23,63712000.0,98.71,AMZN,100.21282837939083,99.95295945128431,-55.1083591331269,71.11438897054126,4.0,99.42,100.55,101.05,100.5,99.6,99.28
2019-07-20,99.56,99.8,98.11,98.23,63712000.0,98.71,AMZN,100.21282837939083,99.95295945128431,-55.1083591331269,71.11438897054126,4.0,100.87,101.05,100.5,99.6,98.89,99.72
2019-07-21,99.56,99.8,98.11,98.23,63712000.0,98.71,AMZN,100.21282837939083,99.95295945128431,-55.1083591331269,71.11438897054126,4.0,100.05,100.5,99.6,98.89,98.23,100.04
2019-07-22,98.56,99.45,97.91,99.28,58000000.0,98.88,AMZN,100.17189728489481,99.82775790921649,-38.85448916408672,74.32844013649307,4.0,100.55,99.6,98.89,98.23,98.23,98.69
2019-07-23,99.8,99.89,98.66,99.72,54070000.0,99.42,AMZN,100.23480864440857,99.86791336623287,-37.43218806509958,75.55586243107078,4.0,100.55,98.89,98.23,98.23,98.23,97.15
2019-07-24,98.46,100.07,98.29,100.04,52626000.0,99.47,AMZN,100.35255435632051,99.99290453439215,-31.645569620253156,76.43819496375492,4.0,100.55,98.23,98.23,98.23,99.28,97.15
2019-07-25,100.05,100.06,98.64,98.69,82730000.0,99.13,AMZN,100.09943794693311,99.59981637500417,-57.62081784386622,65.66893160855497,4.0,101.05,98.23,98.23,99.28,99.72,97.15
2019-07-26,97.1,97.54,96.23,97.15,98542000.0,96.97,AMZN,99.50097383593668,98.75450529547341,-83.45323741007192,55.979919857360294,4.0,100.5,98.23,99.28,99.72,100.04,95.62
2019-07-27,97.1,97.54,96.23,97.15,98542000.0,96.97,AMZN,99.50097383593668,98.75450529547341,-83.45323741007192,55.979919857360294,4.0,99.6,99.28,99.72,100.04,98.69,94.93
